INFO | 03/25/2020 10:54:22 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\1028.txt" read
INFO | 03/25/2020 10:54:22 AM RawText object initialized using text starting with "Even ..."
INFO | 03/25/2020 10:54:22 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:22 AM CleanedText object initialized using "50" as cleaning level
INFO | 03/25/2020 10:54:22 AM Cleaning up useless attributes to free memory
INFO | 03/25/2020 10:54:22 AM Counting words occurrences
INFO | 03/25/2020 10:54:22 AM Calculating words frequencies with occurrences normalized
INFO | 03/25/2020 10:54:22 AM AbstractText object initialized
INFO | 03/25/2020 10:54:22 AM Cleaning up useless attributes to free memory
INFO | 03/25/2020 10:54:22 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\1029.txt" opened
INFO | 03/25/2020 10:54:22 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\1029.txt" read
INFO | 03/25/2020 10:54:22 AM RawText object initialized using text starting with "And h..."
INFO | 03/25/2020 10:54:22 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:22 AM CleanedText object initialized using "50" as cleaning level
INFO | 03/25/2020 10:54:22 AM Cleaning up useless attributes to free memory
INFO | 03/25/2020 10:54:22 AM Counting words occurrences
